
Count: 28  Balance: 100.02400000000002  Reward: -1423.9759999999999  Higest ballance 101.02700000000002  Max_lose: -1.0019999999999953  Max_profit: 1.0010000000000048  Number of losses: 2  Number of wins: 3
Count: 29  Balance: 77.00299999999999  Reward: -1509.9930000000002  Higest ballance 100  Max_lose: -17.99900000000001  Max_profit: 0  Number of losses: 4  Number of wins: 2
Count: 30  Balance: 100.001  Reward: -1421.999  Higest ballance 100.00899999999999  Max_lose: -0.010000000000005116  Max_profit: 0.014999999999986358  Number of losses: 4  Number of wins: 6
Count: 31  Balance: 101.02700000000002  Reward: -1418.976  Higest ballance 101.02700000000002  Max_lose: -0.0030000000000001137  Max_profit: 1.0080000000000098  Number of losses: 2  Number of wins: 6
Count: 32  Balance: 100.019  Reward: -1415.9890000000003  Higest ballance 100.02600000000001  Max_lose: -0.011999999999986244  Max_profit: 0.016999999999995907  Number of losses: 4  Number of wins: 8
Count: 33  Balance: 101.98899999999998  Reward: -1414.011  Higest ballance 101.98899999999999  Max_lose: -0.022999999999996135  Max_profit: 2.003  Number of losses: 3  Number of wins: 7
Count: 34  Balance: 98.01999999999994  Reward: -1417.9769999999999  Higest ballance 100  Max_lose: -3.997  Max_profit: 1.0109999999999815  Number of losses: 5  Number of wins: 8
Count: 35  Balance: 100.018  Reward: -1426.978  Higest ballance 100.018  Max_lose: -0.9989999999999952  Max_profit: 1.0040000000000049  Number of losses: 1  Number of wins: 3
Count: 36  Balance: 48.046999999999954  Reward: -1466.953  Higest ballance 100.014  Max_lose: -28.00600000000002  Max_profit: 0.02199999999999136  Number of losses: 2  Number of wins: 7
Count: 37  Balance: 100.00200000000001  Reward: -1431.998  Higest ballance 100.00200000000001  Max_lose: -0.0049999999999954525  Max_profit: 0.007000000000005002  Number of losses: 1  Number of wins: 2
Count: 38  Balance: 100.01499999999999  Reward: -1421.9850000000001  Higest ballance 100.01499999999999  Max_lose: -0.016999999999995907  Max_profit: 0.018000000000000682  Number of losses: 2  Number of wins: 6
Count: 39  Balance: 99.931  Reward: -1423.069  Higest ballance 100  Max_lose: -0.06399999999999295  Max_profit: 0.0040000000000048885  Number of losses: 3  Number of wins: 5
Count: 40  Balance: 103.02799999999999  Reward: -1410.9720000000002  Higest ballance 103.99799999999999  Max_lose: -1.0019999999999953  Max_profit: 3.9989999999999952  Number of losses: 3  Number of wins: 8
Count: 41  Balance: 100.032  Reward: -1425.9679999999998  Higest ballance 100.032  Max_lose: -0.0010000000000047748  Max_profit: 0.027000000000001023  Number of losses: 1  Number of wins: 3
Count: 42  Balance: 100.92200000000003  Reward: -1402.0819999999997  Higest ballance 100.98400000000001  Max_lose: -1.007000000000005  Max_profit: 1.0020000000000095  Number of losses: 7  Number of wins: 10
Count: 43  Balance: 75.97099999999998  Reward: -1456.027  Higest ballance 100.01700000000001  Max_lose: -24.998000000000005  Max_profit: 1.0080000000000098  Number of losses: 5  Number of wins: 8
Count: 44  Balance: 73.96199999999999  Reward: -1427.038  Higest ballance 100.987  Max_lose: -26.998999999999995  Max_profit: 0.9969999999999999  Number of losses: 7  Number of wins: 11
Count: 45  Balance: 99.963  Reward: -1414.037  Higest ballance 100  Max_lose: -0.02400000000000091  Max_profit: 0.00899999999998613  Number of losses: 5  Number of wins: 7
Count: 46  Balance: 99.00299999999999  Reward: -1410.9970999999998  Higest ballance 101.025  Max_lose: -1.01100000000001  Max_profit: 0.9979999999999905  Number of losses: 5  Number of wins: 8
Count: 47  Balance: 99.97899999999998  Reward: -1428.0210000000002  Higest ballance 100.00600000000001  Max_lose: -0.015999999999991132  Max_profit: 0.006000000000014438  Number of losses: 2  Number of wins: 4
